SYMBOL,COMPANY,MEETING_DATE,PURPOSE,DETAILS
STCINDIA,The State Trading Corporation of India Limited,25-Aug-2026,Board Meeting Intimation,THE STATE TRADING CORPORATION OF INDIA LIMITED has informed the Exchange about Board Meeting to be held on 25-Aug-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Other business.
STCINDIA,The State Trading Corporation of India Limited,25-Aug-2026,Financial Results,"To consider and approve the financial results for the period ended March 31, 2026"
PAR,Par Drugs and Chemicals Limited,22-Aug-2026,Board Meeting Intimation,PAR DRUGS AND CHEMICALS LIMITED has informed the Exchange about Board Meeting to be held on 22-Aug-2026 to consider Other business.
PAR,Par Drugs and Chemicals Limited,22-Aug-2026,Other business matters,To consider other business matters
FLEXITUFF,Flexituff Ventures International Limited,21-Aug-2026,Financial Results,"The Company has informed the Exchange that a Board meeting to be held on August 14, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 21, 2026,  to consider and approve the financial results for"
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,21-Aug-2026,Board Meeting Intimation,GLOBE ENTERPRISES (INDIA) LIMITED has informed the Exchange about Board Meeting to be held on 21-Aug-2026 to consider and approve Increase in authorised capital/Other business.
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,21-Aug-2026,Other business matters,To consider other business matters
ARIHANTCAP,Arihant Capital Markets Limited,20-Aug-2026,Board Meeting Intimation,ARIHANT CAPITAL MARKETS LIMITED has informed the Exchange about Board Meeting to be held on 20-Aug-2026 to consider Other business.
ARIHANTCAP,Arihant Capital Markets Limited,20-Aug-2026,Other business matters,To consider other business matters
MANIPALHOS,Manipal Health Enterprises Limited,20-Aug-2026,Board Meeting Intimation,Manipal Health Enterprises Limited has informed the Exchange about Board Meeting to be held on 20-Aug-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .
MANIPALHOS,Manipal Health Enterprises Limited,20-Aug-2026,Financial Results,"To consider and approve, inter alia, the Unaudited Financial Results (both Standalone and Consolidated) of the Company for the quarter ended June 30, 2026"
RUBFILA,Rubfila International Limited,20-Aug-2026,Board Meeting Intimation,RUBFILA INTERNATIONAL LIMITED has informed the Exchange about Board Meeting to be held on 20-Aug-2026 to consider Other business.
RUBFILA,Rubfila International Limited,20-Aug-2026,Other business matters,"We hereby inform you that a meeting of the Board of Directors of the Company is scheduled to be held on 20-08-2026 to   i) convene the 33rd  Annual General Meeting of the Company and to approve the Notice, Directors Report etc.ii) consider the Valuation Report on the wholly-owned subsidiary of the c"
SUPREMEENG,Supreme Engineering Limited,20-Aug-2026,Board Meeting Intimation,Supreme Engineering Limited has informed the Exchange about Board Meeting to be held on 20-Aug-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Fund raising.
SUPREMEENG,Supreme Engineering Limited,20-Aug-2026,Financial Results/Fund Raising,"To consider and approve the financial results for the period ended March 31, 2026 and Fund Raising"
CPPLUS,Aditya Infotech Limited,19-Aug-2026,Board Meeting Intimation,ADITYA INFOTECH LIMITED has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to consider Fund raising.
CPPLUS,Aditya Infotech Limited,19-Aug-2026,Fund Raising,"A meeting of the Board of Directors of the Company is scheduled to be held on August 19, 2026, inter alia, to consider and approve the proposal for fund raising by the Company."
DHANBANK,Dhanlaxmi Bank Limited,19-Aug-2026,Board Meeting Intimation,DHANLAXMI BANK LIMITED has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to consider ESOP.
DHANBANK,Dhanlaxmi Bank Limited,19-Aug-2026,Other business matters,"Consider and approve  Dhanlaxmi Bank Limited Employee Stock Option Plan   2025  in accordance with the Securities and Exchange Board of India (Share Based Employee Benefits and Sweat Equity) Regulations, 2021, subject to the approval of the shareholders of the Bank."
DUCON,Ducon Infratechnologies Limited,19-Aug-2026,Board Meeting Intimation,Ducon Infratechnologies Limited has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to consider and approve Fund raising/Other business.
DUCON,Ducon Infratechnologies Limited,19-Aug-2026,Fund Raising/Other business matters,"Intimation of Board Meeting to be held on Wednesday, 19th August, 2026"
GULFPETRO,GP Petroleums Limited,19-Aug-2026,Board Meeting Intimation,GP Petroleums Limited has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to consider and approve Fund raising/Other business.
GULFPETRO,GP Petroleums Limited,19-Aug-2026,Fund Raising/Other business matters,"GULFPETRO : 19-Aug-2026 :  The Company has informed the Exchange that a Board meeting to be held on August 14, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 19, 2026, To consider Fund Raisin"
LCL,Lohia Corp Limited,19-Aug-2026,Board Meeting Intimation,Lohia Corp Limited has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .
LCL,Lohia Corp Limited,19-Aug-2026,Financial Results,Consideration and approval of Statement of unaudited consolidated/standalone financial results for the quarter and three months period ended 30 June 2026.
WHEELS,Wheels India Limited,19-Aug-2026,Board Meeting Intimation,WHEELS INDIA LIMITED has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to consider Fund raising.
WHEELS,Wheels India Limited,19-Aug-2026,Fund Raising,To consider Fund Raising
XTRANET,Xtranet Technologies Limited,19-Aug-2026,Board Meeting Intimation,Xtranet Technologies Limited has informed the Exchange about Board Meeting to be held on 19-Aug-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .
XTRANET,Xtranet Technologies Limited,19-Aug-2026,Financial Results,"To consider and approve the financial results for the period ended Jun 30, 2026"
ANNAPURNA,Annapurna Swadisht Limited,18-Aug-2026,Board Meeting Intimation,Annapurna Swadisht Limited has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .
ANNAPURNA,Annapurna Swadisht Limited,18-Aug-2026,Financial Results,"ANNAPURNA : 18-Aug-2026 :  The Company has informed the Exchange that a Board meeting to be held on August 14, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 18, 2026."
BAGFILMS,B.A.G Films and Media Limited,18-Aug-2026,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters"
BALKRISIND,Balkrishna Industries Limited,18-Aug-2026,Board Meeting Intimation,BALKRISHNA INDUSTRIES LIMITED has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Fund raising.
BALKRISIND,Balkrishna Industries Limited,18-Aug-2026,Fund Raising,"Pursuant to Regulations 29(1)(d) of the Listing Regulations, we wish to inform you that a meeting of the Finance Committee of the Board of directors of Balkrishna Industries Limited ( Company ) is scheduled to be held on 18th August, 2026 inter-alia, to consider and approve the proposal of raising f"
BPCL,Bharat Petroleum Corporation Limited,18-Aug-2026,Board Meeting Intimation,BHARAT PETROLEUM CORPORATION LIMITED has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Fund raising.
BPCL,Bharat Petroleum Corporation Limited,18-Aug-2026,Fund Raising,To consider Fund Raising
EFCIL,EFC (I) Limited,18-Aug-2026,Board Meeting Intimation,EFC (I) Limited has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Fund raising.
EFCIL,EFC (I) Limited,18-Aug-2026,Fund Raising,As per intimation letter
IGIL,International Gemological Institute Limited,18-Aug-2026,Board Meeting Intimation,International Gemological Institute Limited has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Dividend.
IGIL,International Gemological Institute Limited,18-Aug-2026,Dividend,"consider and approve the first interim dividend on equity shares, for the Financial Year 2026-27."
MUTHOOTCAP,Muthoot Capital Services Limited,18-Aug-2026,Board Meeting Intimation,Muthoot Capital Services Limited has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Fund raising.
PICCADIL,Piccadily Agro Industries Limited,18-Aug-2026,Board Meeting Intimation,Piccadily Agro Industries Limited has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Dividend.
PICCADIL,Piccadily Agro Industries Limited,18-Aug-2026,Dividend,To consider and recommend dividend
SIGMA,Sigma Solve Limited,18-Aug-2026,Board Meeting Intimation,SIGMA SOLVE LIMITED has informed the Exchange about Board Meeting to be held on 18-Aug-2026 to consider Dividend.
SIGMA,Sigma Solve Limited,18-Aug-2026,Dividend,To consider dividend
ANTGRAPHIC,Antarctica Limited,17-Aug-2026,Board Meeting Intimation,ANTARCTICA LIMITED has informed the Exchange about Board Meeting to be held on 17-Aug-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .
ATALREAL,Atal Realtech Limited,17-Aug-2026,Board Meeting Intimation,Atal Realtech Limited has informed the Exchange about Board Meeting to be held on 17-Aug-2026 to consider and approve Fund raising/Other business.
ATALREAL,Atal Realtech Limited,17-Aug-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters
CAPINVIT,Capital Infra Trust,17-Aug-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters
FCL,Fineotex Chemical Limited,17-Aug-2026,Board Meeting Intimation,Fineotex Chemical Limited has informed the Exchange about Board Meeting to be held on 17-Aug-2026 to consider Fund raising.
FCL,Fineotex Chemical Limited,17-Aug-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters
INDOMIM,INDO-MIM Limited,17-Aug-2026,Board Meeting Intimation,INDO-MIM Limited has informed the Exchange about Board Meeting to be held on 17-Aug-2026 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended June 2026 and Other business.
INDOMIM,INDO-MIM Limited,17-Aug-2026,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters"
SRPL,Shree Ram Proteins Limited,17-Aug-2026,Board Meeting Intimation,SHREE RAM PROTEINS LIMITED has informed the Exchange about Board Meeting to be held on 17-Aug-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Other business.
SRPL,Shree Ram Proteins Limited,17-Aug-2026,Financial Results,"SRPL : 17-Aug-2026 :  The Company has informed the Exchange that a Board meeting to be held on July 31, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 17, 2026"
3MINDIA,3M India Limited,14-Aug-2026,Board Meeting Intimation,3M INDIA LIMITED has informed the Exchange about Board Meeting to be held on 14-Aug-2026 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended June 2026 and Other business.
3MINDIA,3M India Limited,14-Aug-2026,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters"
