DATE,PARTICIPANT,BUY_CR,SELL_CR
2026-08-14,DII,14295.49,13939.09
2026-08-14,FII/FPI,12854.44,12346.32
2026-08-17,DII,16654.08,11552.62
2026-08-17,FII/FPI,11546.16,14081.26
2026-08-18,DII,15566.07,12986.76
2026-08-18,FII/FPI,13543.3,11891.77
2026-08-19,DII,17288.58,13314.86
2026-08-19,FII/FPI,12875.76,12467.77
2026-08-20,DII,16932.72,13395.01
2026-08-20,FII/FPI,11411.73,11995.09
2026-08-21,DII,15258.71,13134.57
2026-08-21,FII/FPI,12560.91,13103.62
2026-08-24,DII,15337.18,12843.77
2026-08-24,FII/FPI,12332.64,11150.98
2026-08-25,DII,14280.18,14049.92
2026-08-25,FII/FPI,13259.03,11665.5
