SYMBOL,PERIOD,PROMOTER_%,PLEDGED_%,FII_%,DII_%,MF_%,PUBLIC_%,SOURCE
RELIANCE,30-JUN-2026,50.48,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-MAR-2026,50.0,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-DEC-2025,50.01,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-SEP-2025,50.01,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-JUN-2025,50.07,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-MAR-2025,50.11,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-DEC-2024,50.13,,,,,,/api/corporate-share-holdings-master
RELIANCE,29-OCT-2024,50.24,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-SEP-2024,50.24,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-JUN-2024,50.33,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-MAR-2024,50.31,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-DEC-2023,50.3,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-SEP-2023,50.27,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-JUN-2023,50.39,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-MAR-2023,50.41,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-DEC-2022,50.49,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-SEP-2022,50.57,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-JUN-2022,50.62,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-MAR-2022,50.66,,,,,,/api/corporate-share-holdings-master
RELIANCE,31-DEC-2021,50.61,,,,,,/api/corporate-share-holdings-master
RELIANCE,08-DEC-2021,50.62,,,,,,/api/corporate-share-holdings-master
RELIANCE,30-SEP-2021,50.61,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-JUN-2026,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-MAR-2026,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-DEC-2025,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-SEP-2025,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,28-AUG-2025,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-JUN-2025,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-MAR-2025,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-DEC-2024,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-SEP-2024,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-JUN-2024,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-MAR-2024,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-DEC-2023,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-SEP-2023,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,14-JUL-2023,0.0,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-JUN-2023,25.52,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-MAR-2023,25.59,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-DEC-2022,25.6,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-SEP-2022,25.64,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-JUN-2022,25.73,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-MAR-2022,25.78,,,,,,/api/corporate-share-holdings-master
HDFCBANK,31-DEC-2021,25.8,,,,,,/api/corporate-share-holdings-master
HDFCBANK,30-SEP-2021,25.83,,,,,,/api/corporate-share-holdings-master
TCS,30-JUN-2026,71.77,,,,,,/api/corporate-share-holdings-master
TCS,31-MAR-2026,71.77,,,,,,/api/corporate-share-holdings-master
TCS,31-DEC-2025,71.77,,,,,,/api/corporate-share-holdings-master
TCS,30-SEP-2025,71.77,,,,,,/api/corporate-share-holdings-master
TCS,30-JUN-2025,71.77,,,,,,/api/corporate-share-holdings-master
TCS,31-MAR-2025,71.77,,,,,,/api/corporate-share-holdings-master
TCS,31-DEC-2024,71.77,,,,,,/api/corporate-share-holdings-master
TCS,30-SEP-2024,71.77,,,,,,/api/corporate-share-holdings-master
TCS,30-JUN-2024,71.77,,,,,,/api/corporate-share-holdings-master
TCS,31-MAR-2024,71.77,,,,,,/api/corporate-share-holdings-master
TCS,31-DEC-2023,72.41,,,,,,/api/corporate-share-holdings-master
TCS,30-SEP-2023,72.3,,,,,,/api/corporate-share-holdings-master
TCS,30-JUN-2023,72.3,,,,,,/api/corporate-share-holdings-master
TCS,31-MAR-2023,72.3,,,,,,/api/corporate-share-holdings-master
TCS,31-DEC-2022,72.3,,,,,,/api/corporate-share-holdings-master
TCS,30-SEP-2022,72.3,,,,,,/api/corporate-share-holdings-master
TCS,30-JUN-2022,72.3,,,,,,/api/corporate-share-holdings-master
TCS,31-MAR-2022,72.3,,,,,,/api/corporate-share-holdings-master
TCS,31-DEC-2021,72.19,,,,,,/api/corporate-share-holdings-master
TCS,30-SEP-2021,72.19,,,,,,/api/corporate-share-holdings-master
INFY,30-JUN-2026,13.82,,,,,,/api/corporate-share-holdings-master
INFY,31-MAR-2026,14.38,,,,,,/api/corporate-share-holdings-master
INFY,31-DEC-2025,14.52,,,,,,/api/corporate-share-holdings-master
INFY,04-DEC-2025,14.55,,,,,,/api/corporate-share-holdings-master
INFY,30-SEP-2025,14.3,,,,,,/api/corporate-share-holdings-master
